Event Name,Date,Start,End,Link
"Executive-in-Residence: Laurie Golub, CEO, Affinius Capital",2024-09-19,12:00pm,4:00pm,https://www.events.nyu.edu/event/338313-executive-in-residence-laurie-golub-ceo-aff
"Five Black voices share their journey of healing, growth, trauma, spirituality, transcendence, and ancestral connection as they bring you into their own individual worlds.",2024-09-19,,11:59pm,https://steinhardt.nyu.edu/events/bfa-exhibition-farther-we-reach-closer-we-are
BMI Check-in,2024-09-19,,,https://engage.nyu.edu/event/10471882
Brown Sugar Brilliance - Welcome Mixer,2024-09-19,,,https://engage.nyu.edu/event/10474952
"No ideal form of a shop exists, but we try to hold the raindrops in our hands, to give those instincts a home to land, and scatter.",2024-09-19,,11:59pm,https://steinhardt.nyu.edu/events/stand-comedy-personals
COUNTING AND CRACKING,2024-09-19,,,https://www.events.nyu.edu/event/338046-counting-and-cracking
NYU Economics Society - General Event,2024-09-19,,,https://engage.nyu.edu/event/9615532
Pet Photo Contest 2025,2024-09-19,,,https://www.events.nyu.edu/event/337511-pet-photo-contest-2025
The Gallatin Galleries | The End of Democracy in Five Acts,2024-09-19,,,https://gallatin.nyu.edu:443/content/gallatin/en/utilities/events/2024/09/gallery-show---end-of-democracy-in-5-episodes-.html
"This exhibition invites a journey beyond the known, into the subtle, shifting spaces where diverse perspectives converge and transform.",2024-09-19,,11:59pm,https://steinhardt.nyu.edu/events/bfa-exhibition-multiplicities
(9/19/24) Philip TA Torts Session,2024-09-19,1:15am,,https://its.law.nyu.edu/eventcalendar/index.cfm?fuseaction=main.detail&id=98811
TA - Fixed Pros - 4 hr. session,2024-09-19,8:00am,12:00pm,https://engage.nyu.edu/event/10212739
Student Senators Council - Orientation,2024-09-19,9:00am,11:00am,https://engage.nyu.edu/event/10352165
Student Senators Council Orientation,2024-09-19,9:00am,11:00am,https://engage.nyu.edu/event/10455159
Brightspace Basics II,2024-09-19,10:00am,,https://www.events.nyu.edu/event/338988-brightspace-basics-ii
Intro Lab Safety Training: Zoom,2024-09-19,10:00am,1:00pm,https://www.events.nyu.edu/event/337820-intro-lab-safety-training-zoom
Immigration & the 2024 US Election,2024-09-19,10:00am,3:30pm,https://www.events.nyu.edu/event/337318-immigration-the-2024-us-election
Immigration & the 2024 US Election,2024-09-19,10:00am,3:30pm,https://www.events.nyu.edu/event/338979-immigration-the-2024-us-election
Work Life Presents: Envisioning Retirement for Faculty,2024-09-19,11:00am,12:00pm,https://www.events.nyu.edu/event/338319-work-life-presents-envisioning-retirement-f
Cultural Hangout with Pi Delta Psi,2024-09-19,12:00pm,1:00pm,https://engage.nyu.edu/event/10327593
"Presenting over 90 artists and collectives, Legacies is the first institutional survey exhibition focusing on artists of Asian descent who were based in New York City.",2024-09-19,12:00pm,6:00pm,https://steinhardt.nyu.edu/events/legacies-asian-american-art-movements-new-york-city-1969-2001
"Executive-in-Residence: Laurie Golub, CEO, Affinius Capital",2024-09-19,12:00pm,4:00pm,https://www.events.nyu.edu/event/338313-executive-in-residence-laurie-golub-ceo-aff
Instructional Tech Drop-in Sessions,2024-09-19,12:00pm,2:00pm,http://engineering.nyu.edu/events/2024/09/19/instructional-tech-drop-sessions
Pajama Party!,2024-09-19,12:00pm,1:00pm,https://engage.nyu.edu/event/10461460
How to Succeed in Your Fall Job Search in the China Market: Workshop by Mentor X,2024-09-19,12:00pm,1:00pm,https://www.events.nyu.edu/event/331641-how-to-succeed-in-your-fall-job-search-in-t
Getting Out The Vote With Motivote,2024-09-19,12:00pm,12:45pm,https://www.events.nyu.edu/event/338917-getting-out-the-vote-with-motivote
"Partnering Together, a 12-Session Series for Caregivers of Loved Ones with Alzheimer’s or Other Dementias",2024-09-19,12:00pm,,https://www.events.nyu.edu/event/338478-partnering-together-a-12-session-series-for
Fashion Bootcamp,2024-09-19,12:30pm,1:45pm,https://engage.nyu.edu/event/10458734
MktSoc Resume & Cover Letter Workshop,2024-09-19,12:30pm,1:45pm,https://engage.nyu.edu/event/10458750
